,authors,cite_by,description,publication_date,tittle
94,"TU Habarakada Liyanage, S Babel",2,"Food waste accounts for the largest fraction of municipal solid waste, and one-third of the food produced goes to waste. According to experts, the total food waste generation is expected to increase by 44%, by 2025. In this research, thermal, ultrasonic, and electrochemical pretreatments were used to enhance the solubilization and methane generation using food waste as the substrate. Different pretreatment conditions were examined to determine the optimum conditions for each pretreatment. The highest solubilization was observed at 20 V for 40 min with electrochemical pretreatment. Compared to the control, this was a 40–47% increase. For thermal pretreatment, 80 °C for 90 min, was selected as best conditions. The 2 W/mL for 30 min and 20 V for 40 min pretreatments were selected as the optimum conditions for ultrasonication and electrochemical pretreatments, respectively. The optimum buffer concentration …",2020/9,"Thermal, ultrasonic and electrochemical pretreatment methods to enhance the solubilization of organic substance and methane generation in food waste"
95,"Indika Thushari, Sandhya Babel",2,"This study investigates the utilization of coconut meal residue for the preparation of a solid acid catalyst in a one-step simple protocol and its potential use in biodiesel production from waste palm cooking oil in three different reactors. The prepared catalyst was successfully employed for biodiesel production in diverse reaction conditions. The biodiesel yields were 92.7%, 95.5%, and 94.7% in an open reflux reactor, an autoclave reactor, and a microwave-assisted reactor, respectively. The biodiesel yield increases with increasing temperature in an autoclave reactor and with time in all three reactors up to an optimum value. The catalyst can be reused, and biodiesel yields of > 80% were obtained after the fourth run in an open reflux reactor and an autoclave reactor. When considering both the catalytic activity and energy requirement, the autoclave reactor showed better performance. Microwave-assisted biodiesel …",2020/9,Biodiesel production from waste palm cooking oil using solid acid catalyst derived from coconut meal residue
96,"Anh Tuan Ta, Sandhya Babel, Andreas Haarstrick",2,"Microplastics (MPs) are distributed globally, including in aquatic environments. While a large number of studies on MPs in marine environments have been performed, few studies are available in freshwater environments. Therefore, the distribution of MPs in surface water and sediment from the Chao Phraya River at Tha Prachan, a high population density area of Bangkok, was investigated. Water samples were collected by a manta trawl with a net mesh size of 300 μm. Sediment samples were collected by a Van Veen grab sampler. The total number and concentration of MPs in the water samples were found to be 104 particles/m3 and 805.20 mg/m3, respectively. The dominant MPs were fragments, 0.5 to 1.0 mm in size, for the water samples. In the sediment, MPs were detected only in a size range of 0.053 to 0.5 mm with a total number and concentration of 2,290 particles/kg and 650 mg/kg, respectively. The presence of different types of MPs was confirmed by Fourier-transform infrared spectroscopy with a dominant abundance of polypropylene, polyethylene, and polystyrene. In brief, this study suggests that high levels of MPs occur not only in the water but also in the sediment of the Chao Phraya River at Tha Prachan area.",2020/8/1,"Microplastics Contamination in a High Population Density Area of the Chao Phraya River, Bangkok."
97,"NAD Ho, S Babel",2,"Waste fixer solutions generated from photographic processing are silver-rich effluents, in which silver exists in the form of a dithiosulfate complex ([Ag (S 2 O 3) 2] 3−), a stable and water-soluble chemical compound. This study investigated the electrochemical reduction of [Ag (S 2 O 3) 2] 3− at different initial concentrations for silver recovery, combined with electricity production in a two-chamber bio-electrochemical system using a cation exchange membrane as the separator. During the biological oxidation of acetate to produce electrons in the anode chamber,[Ag (S 2 O 3) 2] 3− was reduced spontaneously by acting as an electron acceptor in the cathode chamber, despite its low standard redox potential ([Ag (S 2 O 3) 2] 3−/Ag 0, E 0= 0.016 V). After 48 h in each batch of operation, a Ag recovery efficiency of 81.7–95.2%, with a columbic efficiency of 12.9–21.4% and a maximum power density of 1500–2647 mW/m 3 …",2019/4/1,Spontaneous reduction of low-potential silver (I) dithiosulfate complex in bioelectrochemical systems for recovery of silver and simultaneous electricity production
98,"Anh Ta, Sandhya Babel",2,"As the top country for plastic production and consumption, Thailand generated more than 3 million tonnes of plastic waste in 2016. As a result of improper management, 0.15 to 0.41 million tonnes of plastic waste entered annually in the aquatic environment in Thailand. In recent years, a small size of plastic waste in term of microplastics (MPs) became a significant concern due to their persistence, ubiquity and potential to play as vectors for transfer organic pollutants to human and biota. This study reports the concentration of MPs of the Chao Phraya River at Pa Mok District–a huge agricultural area of Ang Thong Province. MPs were sampled on the river by a manta trawl with the mesh size of 300 microns. The samples were treated by hydrogen peroxide with the iron (II) sulfate as a catalyst to remove organic components and inspected under a microscope with different size ranges. The total number of MPs were found to be 41.77 particles/m3. The presence of different types of MPs was confirmed by FTIR spectroscopy, with a predominant abundance of polypropylene, polyamide 6, and polyethylene. Potential origins of these type of polymers are from plastic nets of aquatic farms and plastic films from mulching employed for cultivation.",2019,Microplastic Pollution in Surface Water of the Chao Phraya River in Ang Thong Area
99,"S Babel, S Arayawate, E Faedsura, H Sudrajat",2,"Waste cooking oil (WCO) is considered the most promising biodiesel feedstock despite its drawback of high free fatty acid (FFA). In this study, microwave-assisted transesterification of WCO is carried out in the presence of potassium hydroxide supported on carbonized coconut shell (KOH/CS) catalyst. The effect of reaction temperature on the yield of fatty acid methyl esters (FAME) is studied. Conventional transesterification is also performed for comparison. The results show that reaction temperature of 80 °C is optimum for FAME production. The properties of the produced biodiesel satisfy the criteria according to ASTM D6751. Acid-catalysed esterification of WCO before transesterification leads to higher production of FAME due to reduction of FFA. At 80 °C, reaction time of 40 min, alcohol to oil ratio of 12:1 and 5 wt.% catalyst, a FAME production of 91.3% is achieved. At 65 °C, reaction time of 90 min, alcohol …",2018,Microwave-assisted transesterification of waste cooking oil for biodiesel production
100,"Tu Anh Nguyen, Sandhya Babel, Siwarutt Boonyarattanakalin, Thammarat Koottatep",2,"This study evaluates the technical feasibility of using microwave radiation for the rapid treatment of human feces. Human feces of 1000 g were radiated with a commercially available household microwave oven (with rotation) at different exposure time lengths (30, 50, 60, 70, and 75 mins) and powers (600, 800, and 1000 W). Volume reduction over 90% occurred after 1000 W microwave radiation for 75 mins. Pathogen eradiation performances of six log units or more at a high range of microwave powers were achieved. Treatments with the same energy input of 1000 Wh, but at lower powers with prolonged exposure times, significantly enhanced moisture removal and volume reduction. Microwave radiation caused carbonization and resulted in a more stable end product. The energy content of the samples after microwave treatment at 1000 W and 75 mins is 3517 ± 8.85 calories/g of dried sample, and the product …",2017/7,Rapid and Decentralized Human Waste Treatment by Microwave Radiation
101,"Chayarat Tantanasarit, Sandhya Babel",2,"Green mussels (Perna viridis) can effectively remove nutrients from seawater through their filtration process. This study aims to estimate “net” nutrient removal rate by green mussel through calculation of nutrient uptake and release. Nutrients (carbon, nitrogen and phosphorus) uptake was calculated based on the mussel filtration rate. Nutrient release was evaluated from carbon, nitrogen and phosphorus released as mussel faeces. By subtracting nutrient release from nutrient uptake, net nutrient removal by green mussel can be found as 3302, 380 and 124 mg/year/indv. Mass balance model was employed to simulate nutrient removal in actual green mussel farming conditions. Mussels farm area, seawater flow rate, and amount of mussels were considered in the model. Results show that although larger quantity of green mussel farms lead to higher nutrient removal rate, the maximum green mussel cultivation should …",2014/1/13,Simulation of “Net” Nutrients Removal by Green Mussel (Perna viridis) in Estuarine and Coastal Areas
102,"Sandhya Babel, Preeda Parkpian, Jenjira Sae-Tang",2,"The management of millions of tons of residual sludge generated every year from wastewater treatment plants involves substantial cost and effort. In Thailand, sludge production from the Bangkok Metropolitan area can reach up to 63,000 tds/year by 2010. The Beer-Thai (1991) Co., Ltd, Thailand, which produces beer, generates lot of sludge as waste. The sewage sludge from wastewater treatment plants and the brewery sludge can be used to generate energy which could save on the fossil fuels conventionally used as source of energy. In this research, the possibility was explored to mix brewery sludge with sewage sludge at different mixing ratios for anaerobic digestion so that energy can be generated as biogas and at the same time digested sewage sludge can be used as fertilizer for agricultural applications. A batch of anaerobic reactor under mesophilic condition for a digestion period of 40 days was used in …",2005,Alternative Energy Generation From Waste Sludge By Anaerobic Co-Digestion
103,"Chamath DY Yahampath Arachchige Don, Sandhya Babel",1,"In this study, the cathode chamber of the microbial fuel cell (MFC) was aerated using the photosynthetic aeration method and was compared with the mechanical aeration method in terms of power generation. Light energy for photosynthetic aeration was supplied in different regimes. The dissolved oxygen of 8.0–9.0 mg/L in the cathode chamber under mechanical aeration was increased to 10.0–11.0 mg/L under photosynthetic aeration of continuous light supply. The maximum power density obtained in the mechanical aeration was increased by 34.5% when photosynthetic aeration employed. Also, the algal assisted cathodic reaction under photosynthetic aeration reduced the internal resistance of the cell by 13.7%. To simulate with natural sun lighting conditions, 12/12 h of dark/light regime was tested to observe the stability of the MFC. During the light phase, microalgae carried out photosynthesis and provided the …",2021/5/5,Comparing the performance of microbial fuel cell with mechanical aeration and photosynthetic aeration in the cathode chamber
104,"Chamath DY Yahampath Arachchige Don, Sandhya Babel",1,"This study optimizes the performances of photosynthetic microbial fuel cells (PMFCs) under mixotrophic conditions in a cathode chamber inoculated with Chlorella vulgaris, compared to autotrophic conditions. In mixotrophic cultivation, microalgae in the cathode chamber were provided with organic and inorganic carbon. Different chemical oxygen demand (COD) concentrations of 100, 300, and 500 mg L−1 were added in the cathode chamber of PMFCs. The COD concentration in the anode chambers was maintained at 1000 mg L−1 and 1500 mg L−1 in the Batch 1, and 2, respectively. The mixotrophic PMFC with 100 mg L−1 of COD in the cathode chamber showed a longer power generation period with power densities of 3.93 (± 0.74) and 9.07 (± 1.40) mW m-2 in Batch 1 and 2, respectively. In comparison, the PMFC in autotrophic conditions showed lower power generation, and higher internal …",2021/2/1,Effects of organic loading on bioelectricity and micro-algal biomass production in microbial fuel cells using synthetic wastewater
105,"Ngo Anh Dao Ho, Sandhya Babel",1,"A large amount of silver-rich wastewater is generated from different industrial processes. This wastewater is not considered a waste, but a valuable source for recovery due to the precious silver (Ag). Previous studies have used traditional methods such as membrane filtration, electrolysis, chemical precipitation, electrochemical, and cementation for Ag recovery. However, many drawbacks have been reported for these techniques such as high cost, hazardous waste generation, and the needed refinement of recovered products. In this study, a bioelectrochemical system (BES) for Ag recovery from aqueous solution is introduced as an effective and innovative method, as compared with other techniques. Different types of Ag(I)-containing solutions that have been investigated in recent BES studies (e.g., Ag+ solution, [Ag(NH3)2]+, [Ag(S2O3)]−, [Ag(S2O3)2]3− complexes) are reported. A BES is an anaerobic system …",2020/7/14,Bioelectrochemical technology for recovery of silver from contaminated aqueous solution: a review
106,"Dinuka Kankanige, Sandhya Babe",1,"In a period when MP contamination of drinking water is a great concern, this study focused on the size-and morphology-based count, and polymeric identification of plastic particles in tap water sourced from Thailand. A total of 45 human consumable samples (each 1 L) were collected at Thammasat University. The average MP counts sorted by Nile Red tagging were 56.0±14.0 p/L (6.5-53 µm) and 21.0±7.0 p/L (53-300 µm), while those found by optical microscopic observations were 13.0±5.0 p/L (300-500 µm) and 6.0±3.0 p/L (≥ 500 µm). A significantly high MP amount was observed in the 6.5-53 µm fraction. Fibers dominated in all samples, accounting for 58% of the particle count. Most≥ 300 µm particles tested by ATR-FT-IR spectroscopy were confirmed to be polymeric, identified as PE, PVC, PET, PA, PTFE, PP, and PAM. These particles may have escaped from the treatment plant or were added along the water distribution network. Since MPs in drinking water constitute a potential health risk by exposing humans to direct plastics intake, MP contamination in water supply systems should be controlled.",2020/1/1,Identification of Micro-plastics (MPs) in Conventional Tap Water Sourced from Thailand.
107,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Tatsuo Kaneko",1,"Radioactive iodine in the nuclear waste can cause adverse effects on the human and other living organisms. I-129 and I-131 are released into the aqueous environment via the nuclear accident, weapon testing, scientific procedures as well as hospitals. The radioactivity of these substances is fatal to human and other living creatures. This study reviews different types of natural adsorbents that can be utilized for the application of radioactive iodine remediation in the water. To solve the problem, scientifically, the conventional anion-exchange resin is typically employed for the anionic species of iodine, but it is deemed unsustainable due to dependency over petroleum-based chemical. As a result, there is a need for the search of more sustainable adsorbents, which include activated carbon, soil and clay materials, mineral and even polysaccharide. The activated carbon, when impregnated with silver, can adsorb …",2020,Natural Adsorbents for Removal of Different Iodine Species from Aqueous Environment: A Review
108,"Alice Sharp, Sandhya Babel, Nguyen Thi Phuong Loan, Mr Tshering Gyeltshen",1,3 4 6 2.3 Waste Management Approach 2.3. 1 Waste Utilization Techniques 2.3. 1.1 Composting 2.3. 1.2 Anaerobic digestion (AD) 2.3. 1.3 Mechanical Biological Treatment (MBT) 2.3. 1.4 Recycling,2018,Integrated solid waste management system leading to zero waste for sustainable resource utilization in rapid urbanized areas in developing countries
109,"Weetara Boontham, Sandhya Babel",1,"see more details dosage, pH, contact time, agitation speed, and initial lead concentrations. The maximum biosorption of Pb (II) was approximately 89% with 1.0 g/L biomass under an optimum pH of 5 with 2 mg/L initial lead concentration for the three selected adsorbents. The lead removal rate increased with an increase of dosage, speed of rotation, and contact time, while it decreased with a pH greater than 5, and increased initial Pb (II) concentration. The maximum monolayer adsorption capacity capacity Subject Category: Properties
see more details of the PL, CR, and CL was 4.48, 2.94, and 3.87 mg/g, respectively. It was found that the Langmuir isotherm provides a good model to describe the adsorption process for PL, CR, and CL. The adsorption process obeyed a pseudo-second-order kinetic model in all cases. Due to its ease of use, local availability, low-cost, and good adsorption capacities, PL, CR, and CL can be used as effective adsorbents for Pb (II) removal from low-concentration aqueous solutions.",2018,Removal of lead from aqueous solution using low-cost adsorbents from Apiaceae family.
110,"NAD Ho, S Babel",1,"Silver has valuable features and limited availability, and thus recovery from wastewater or aqueous solutions plays an important role in environmental protection and economic profits. In this study, silver recovery along with power generation and COD removal were investigated in a bio-electrochemical system (BES). The BES comprised of an anode and a cathode chamber which were separated by a cation exchange membrane to prevent the cross-over of electrolytes. During the biological oxidation of acetate as an electron donor in the anode chamber, the reduction of ammonia chelated silver ions as electron acceptors in the cathode side occurred spontaneously. Results showed that a silver recovery of 99% and COD removal efficiency of 60% were achieved at the initial silver concentration of 1,000 mg/L after 48 hours of operation. The power generation improved 4.66%, from 3,618 to 3,795 mW/m3, by adding …",2017/6/1,Silver Recovery and Power Generation from Ammonia Chelated Silver Solution in a Bio-Electrochemical Reactor
111,"Manisha Poudyal, Sandhya Babel",1,This study aims to evaluate the effectiveness of Saba banana peel peel Subject Category: Commodities and Products,2017,Investigations on the effectiveness of the Saba banana peel for the treatment of fluoride contaminated water.
112,"Sandhya Babel, Emmanuel Pacheco Leaño",1,"Various pretreatment methods have been conducted on the mixed inoculums to enrich hydrogen producing bacteria (HPB). This study investigates the use of heat as a pretreatment method for the anaerobic sludge at 105oC, ranging from 45, 60, 90, and 120 minutes to determine the optimum time to suppress methanogenic activity and enhance hydrogen production using artificial wastewater in batch experiments. Experiments are also conducted with sugarcane mill wastewater with and without dilution and the results compared with synthetic wastewater. Optimum time of heating the seed inoculum obtained from the experiment with sucrose solution was applied to the sugar mill wastewater as substrate. Results of batch experiments showed that heat treatment at 105oC of the seed sludge, regardless of time duration of heating, showed no activity for methanogenic bacteria when using sucrose solution as substrate. There is an increasing trend of hydrogen production with an increase in heating time at 105oC regardless of sucrose loading (10 g/L and 20 g/L) with the highest value recorded at 120 minutes (3.24 mol H2/g COD on 10g/L and 4.26 mol H2/g COD on 20g/L). Results for sugarcane mill wastewater revealed an increasing trend of hydrogen production with the highest value of 2.38 mol H2/gCOD observed for 100% substrate loading (without dilution) and 1.75 mol H2/gCOD on 50% dilution, indicating a suitable source for clean energy production.",2015,Effects of Thermophilic Heat Pretreatment of Mixed Inoculum on Biohydrogen Production from Synthetic and Sugarcane Mill Wastewaters
113,"UG Yasantha Abeysundara, Sandhya Babel",1,"This paper presents a method to select sustainable materials for ceilings (elements) of buildings in Sri Lanka taking into consideration environmental, economic and social assessments of materials in a life-cycle perspective. Two types of elements were selected for this study, namely, asbestos and timber. The environmental burdens associated with these materials were analysed in terms of embodied energy and environmental impacts such as global warming, acidification and nutrient enrichment. It was found that asbestos elements were better than timber elements in environmental scores; acidification and nutrient enrichment. Timber elements were better in terms of global warming and embodied energy. On economic scores asbestos elements were better. On social scores, also, the asbestos element (137·8) was slightly higher than the timber element (134·35) and was thus slightly better. These scores are …",2009/5,Selecting sustainable materials for ceilings in Sri Lanka
114,"UG Yasantha Abeysundra, Sandhya Babel, Alice Sharp",1,"This paper compares environmental, economic and social impacts of two types of floors (elements) widely used for buildings in Sri Lanka, namely tile and vinyl tile, taking into consideration a life cycle perspective. Materials used for these elements are tile (ceramic or porcelain), vinyl tile (imported), cement (imported), sand and concrete aggregates. Environmental burdens associated with these materials are analyzed in terms of embodied energy and environmental impacts that are relevant to Sri Lanka, such as global warming (GWP), acidification (ACP) and nutrient enrichment (NEP). Processes carried out in Sri Lanka and long distance sea transports are considered for the analyses. Economic analysis is based on market prices and affordability of materials. Social concerns that are taken into consideration are thermal comfort, good interior (aesthetics), ability to construct fast, strength and durability, and are analyzed based on the data collected through the questionnaires and also, interviews with the stakeholders of the buildings such as engineers, architects, contractors and users. It was found that vinyl tile elements are superior to tile elements in environmental scores (GWP, ACP, NEP and embodied energy). The embodied energy of the vinyl tile element was found to be 1,112 MJ and that of the tile element was found to be 1,759 MJ. However, when offshore energy inputs are included, the vinyl tile element has much larger embodied energy (35,736 MJ) than the tile element (9,341 MJ). This indicates that the environmental impacts of the vinyl tile element significantly increase when the physical boundary of the study is expanded (ie, beyond …",2006,A LIFE CYCLE PERSPECTIVE ON BUILDING FLOOR COVERINGS IN SRI LANKA
115,"S Takizawa, S Babel, N Pradhan, T Prathomrungsiyunkul, K Suwannarit, S Yamazaki",1,"Experimental studies on cross-flow ultrafiltration were carried out to evaluate the applicability to treat surface water in North Thailand. Hollow-fiber UF modules (polyacrylonitrile, MWCO 13,000 daltons, I.D. 0.8 mm, and module length 1126 mm) were used in the experiments. While the permeation flux was controlled at 1.0 m/d, the cross-flow velocity was either fixed at 0.1 m/s or varied as the membrane fouling proceeded. The comparative study on fixed and variable cross-flow velocities revealed that the variable velocity operation was superior to achieve a longer operational period before chemical cleaning. Intensive backwashing was performed when the filtration resistance rose over 1013 m–1, which revealed that more than 80% of the resistance was caused by cake-layer that can be removed by the intensive backwashing. However, the operational period was only 54% of the one for the new membranes, which …",2000/5,Cross-flow ultrafiltration for surface water treatment in North Thailand
116,"Katekanya Tadsuwan, Sandhya Babel",1,"Plastic waste has become a global environmental concern. One type of plastic waste is microplastics (MPs), which can spread easily in the environment. Wastewater effluent is one of the land-based sources of MPs. This study investigates the amount of microplastic (MP) pollution in an urban wastewater treatment plant (WWTP) in Thailand. Water samples were collected and examined to find the types, morphology and sources of MPs. Wastewater was filtered through a set of sieves ranging from 5 mm to 0.05 mm. Sludge samples were also collected to find the potential risk from the application of dried sewage sludge. Fourier-transform infrared spectroscopy (FTIR) was used to confirm the types of MPs. The amount of MPs in the influent was 26.6 ± 11.8 MPs/L. More than one-third of MP particles were removed after a grit trap, followed by 14.24% removal in the secondary treatment. If the peak flow rate of the …",Waste Management & Research,Microplastic contamination in a conventional wastewater treatment plant in Thailand
117,"Rasangika Thathsaranee Weligama Thuppahige, Sandhya Babel", ,"The management of organic fraction of municipal solid waste (OFMSW) has continued to be a significant challenge in Sri Lanka. Anaerobic digestion is one of the management options of OFMSW. However, it generates unavoidable environmental impacts that should be addressed. The present study focuses to assess the environmental impact of a full-scale anaerobic digestion plant in Sri Lanka from a life cycle perspective. The inventory data were obtained from direct interviews and field measurements. Environmental burdens were found to be in terms of global warming potential (230 kg CO2 eq) ozone formation on human health (6.15 × 10−6 kg NOx eq), freshwater eutrophication (2.92 × 10−3 kg P eq), freshwater ecotoxicity (9.27 × 10−5 kg 1,4 DCB eq), human carcinogenic toxicity (3.98 × 10−4 kg 1,4 DCB eq), land use (1.32 × 10−4 m2 a crop eq) and water consumption (2.23 × 10−2 m3 …",2021/4/28,Environmental impact assessment of organic fraction of municipal solid waste treatment by anaerobic digestion in Sri Lanka
118,"Jakkapon Phanthuwongpakdee, Toyohiro Harimoto, Sandhya Babel, Sumant Dwivedi, Kenji Takada, Tatsuo Kaneko", ,"The development of flame retardant transparent films is important for electric devices and building materials, but this is a challenge. Herein, flame retardant films having high optical transparency were developed from the amino acid-based biopolyimide (BPI) salt with aluminum (BPI-COOAl) and copper ions (BPI-COOCu). The microscale combustion calorimetry analysis revealed that for BPI-COOAl, the total heat released (THR) and peak heat released rate were 4.5 W/g and 18.9 kJ/g, respectively. These values were lower than those of its precursors and BPI-COOCu. BPI-COOAl was rated V-0 for the Underwriters Laboratories vertical burning standard test. The polymer also retained a high transparency of more than 80% transmittance at a wavelength of 450 nm. The tensile strength was also preserved at 64 MPa. For BPI-COOCu, 14.6 kJ/g THR and 47 MPa tensile strength were observed. When a colorful ion such …",2021/4/5,Flame retardant transparent films of thermostable biopolyimide metal hybrids
119,"Jakkapon Phanthuwongpakdee, Sandhya Babel, Tatsuo Kaneko", ,"Several bio-based adsorbents containing cations were screened for radioactive iodide removal from a water environment. The efficiency of the selected adsorbents was assessed in different pH, temperature as well as competitive ions. Based on the adsorption capacity, iron-alginate (Fe-Alg), hazelnut shells, and sacha inchi shells were selected as potential adsorbents. They possessed 139, 18.9, and 45.1 mg/g iodide (I−) adsorption capacities, respectively. The adsorption equilibrium time for Fe-Alg was 30 min, while hazelnut shells and sash inchi shells took 120 min to stabilize. The adsorption results fit the Langmuir isotherm model with predicted adsorption capacities similar to those of the experimental data. The fitting of pseudo-first-order reaction and the negative values of the Arrhenius activation energy inferred that the adsorption had a physical nature. The iodine X-ray absorption edges of 4552.83–4553.40 …",2021/4/1,Screening of New bio-based materials for radioactive iodide adsorption from water environment
120,"Dinuka Kankanige, Sandhya Babel", ,"Plastic-contaminated drinking water is currently a global concern. This study focused on the microplastics (MPs) contamination in a conventional water treatment plant (WTP) in Thailand. MPs were enumerated based on size fractions (6.5–≥500 μm) and morphology, and the polymer types of the sorted MPs were detected. Also, the MPs removability in the different treatment units was evaluated. Grab samples were collected in the dry and rainy seasons from five sampling points (9 L from each). These samples were raw water, effluents of the screen, clarifier, and filter, and treated drinking water. Optical microscopy, ATR-FTIR spectroscopy (300–≥500 μm), Nile Red-tagging (6.5−300 μm), and Confocal Raman spectroscopy (1−300 μm) were used as the analytical techniques. The overall removal efficiency of the WTP was found to be 67.6 % and 57.2 % in the dry and rainy seasons, respectively, with an average of …",2021/4/1,Contamination by≥ 6.5 μm-sized microplastics and their removability in a conventional water treatment plant (WTP) in Thailand
121,"Chamath DY Yahampath Arachchige Don, Sandhya Babel", ,"Synthetic wastewater containing 1500 mg L-1 of COD was treated in the anode chamber for 5, 10, and 20 d. An anode chamber was conducted under anaerobic conditions with mixed culture bacteria inoculum attached to the anode. Anodic effluent was transferred to the cathode chamber for further treatment for 5, 10, and 20 d as the growth medium of Chlorella vulgaris. The microalgal photosynthesis process provided oxygen for the cathodic reaction. In 5 d of anodic hydraulic retention time (HRT), the effluent contained high COD, resulting in low power generation in the P-MFC due to the heterotrophic metabolism carried out by microalgae diminishing photosynthesis. However, high biomass productivity up to 0.649 g L-1 d-1 was obtained in the subsequent treatment of 5 d in the cathode chamber. An anodic HRT of 10 d resulted in higher power generation (0.0254 kWh kg-1 COD), and higher COD removal …",2021/3/31,Circulation of anodic effluent to the cathode chamber for subsequent treatment of wastewater in photosynthetic microbial fuel cell with generation of bioelectricity and algal …
122,"Jiraporn Yongpisanphop, Sandhya Babel", ,"Bacteria are microbes that can be used as natural tools for phytoremediation. The present study was conducted to discover a new species of Pb-tolerant siderophore producing and non-phosphate solubilizing rhizobacteria for phytostabilization. In this study, a Pb-phytostabilizer (Pityrogramma calomelanos) rhizobacterium, grown on Pb contaminated soil, was isolated and characterized genotypically and phenotypically. No isolate diversity was found in a harsh environment containing high, total and extractable Pb concentrations up to 45500 and 621 mg/kg, respectively. Only the S3 isolate was found and selected. This rhizobacterial isolate showed remarkable Pb tolerance up to 1850 mg/L. Moreover, it produced siderophores and could not solubilize phosphate. Interestingly, these properties support the immobilization of Pb. This isolate was identified as a strain that is closely related to Arthrobacter humicola by partial 16S rRNA gene analysis. To the best of our knowledge, this is the first study proposing a new candidate, A. humicola, for assisting in Pb phytostabilization. The potential use of this rhizobacterial candidate should be further investigated, using a pot experiment.",2021/3/16,"Screening of Pb-Tolerant Plant Growth-Promoting Rhizobacteria from Roots of Pb-Excluder, Grown on Pb Contaminated Soil"
123,"Sandhya Babel, Putri A Sekartaji, Hanggara Sudrajat", ,"Humic acid (HA) is the most important precursor of toxic disinfection byproducts upon chlorination. Removing HA from water body is therefore critical in drinking water acquisition. In this research, ZnO nanoparticles are employed for photocatalysis under UV light at neutral pH to remove HA from a water environment. Almost 100% degradation of HA was achieved using 0.3 g/L of ZnO in 180 min with UV-A and UV-C light. Under identical experimental conditions, total organic carbon (TOC) removals reach 67% and 21% with UV-A and UV-C light, respectively. A higher degree of mineralization of HA is achieved with UV-A light although the degradation of HA is slightly better with UV-C light. This indicates that ZnO/UV-A has relatively low selectivity to degrade different compounds, including various intermediates from HA degradation. The use of UV-A light is therefore recommended for ZnO as it possesses higher …",2021/2/17,ZnO nanoparticles for photodegradation of humic acid in water
124,"Ngo Anh Dao Ho, Sandhya Babel", ,"In this study, we focus on reviewing different types of inocula and substrate sources, which have been employed in bioelectrochemical systems (BES) for metal recovery and power generation. Their important roles and the effects on BES performance characterized by recovery and columbic efficiency are discussed. Results show that until now most BES studies use mixed cultures exploited from natural sources and sewage sludge to serve as inocula for stimulating the formation of the microbial community in the anode chamber. The higher adaptability, stability, and productivity of mixed cultures, as compared to single bacteria straina, are explained for their favorable use. Substrates supplied as carbon sources are also mostly pure substances, such as acetate and glucose, due to their rapid biodegradability and preferable consumption by exoelectrogen for electron production. The study also found that sources of …",2021/1/1,Roles of inoculum and substrate in bioelectrochemical system used for removal and recovery of metals from wastewater
125,"Ngo Anh Dao Ho, Sandhya Babel", ,"Recently, bioelectrochemical system (BES) technology has been considered as an attractive approach for the removal and recovery of metal. Several studies have investigated the feasibility of BES technology on different metals. This article provides a review of functional components for designing and operating a BES reactor, including (1) reactor configurations, (2) electrode materials, (3) separators, (4) inocula, (5) substrates, and (6) metal-rich solutions. It is found that the reactor configurations and electrode materials have effects on internal resistance and cell voltage production. On the other hand, the types of separators and metal-rich solutions have influences on recovery efficiency as they affect the reduction of metal ions and the morphology of electrodeposits in the cathode chamber, which are caused by the migration, diffusion, and reactions of different ions in the electrolytes. In contrast, types of inocula and …",2021/1/1,Functional components of a bioelectrochemical system for removal and recovery of metals: A review
126,"Jiraporn Yongpisanphop, S Babel, M Kruatrachue, P Pokethitiyook", ,"Inoculation of endophytic bacteria has been accepted as a promising technique to assist phytostabilization of heavy metal-contaminated soils. This study investigated the effects of inoculating a bacterial strain closely related to Pseudomonas pyschrophila on the plant growth, and phytostabilization of fast-growing trees Acacia mangium and Eucalyptus camaldulensis, growing on artificial spiked soil with Pb up to 1500 mg/kg. After 60 days, the results showed that the strain closely related to P. pyschrophila slightly increased Pb bioavailability and Pb uptake by A. mangium, compared to non-inoculated controls. It slightly reduced Pb bioavailability in soil, but it did not affect the Pb uptake by E. camaldulensis, compared to non-inoculated controls. Interestingly, it was able to significantly increase Pb content in shoots by 3.07-fold in A. mangium and 2.95-fold in E. camaldulensis, compared to non-inoculated controls. Although the inoculation of the strain closely related to P. pyschrophila slightly increased the translocation factor (TF) of Pb in both tree species, their TF values were less than 1. This indicates that plants associated with the strain closely related to P. pyschrophila are suitable for phytostabilization of A. mangium, which may be used for cleaning up Pb contaminated sites. This strain displayed different influences on plant species and was found not suitable for phytostabilization of E. camaldulensis.",2020/12/1,Pb phytostabilization by fast-growing trees inoculated with Pb-resistant plant growth-promoting endophytic bacterium
